,,Cap Ceramic 0.33uF 35V X7R 20% SMD 0805 125°C T/R
C1,0805_C,0.1uF
"C2, C6, C7, C10, C11, C12, C13, C18, C20, C21, C22, C23, C30, C31, C32, C33, C34",1206_C,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 35V X7R +/-10% 1206 Gen Purp
"C3, C8, C9, C14, C15, C16, C17, C25, C26, C27, C28, C29, C35, C36, C37, C38, C39",1206_C,Cap Ceramic 100uF 10V X5R 20% SMD 1210 85°C Embossed T/R
C5,1206_C,Led Green Clear 0402 SMD
D1,0402_LED,"Connector, Header, 14POS, 2ROW, 1.27MM"
J1,Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical_SMD,Conn Power HDR 2 POS Solder RA Thru-Hole 2 Terminal 1 Port Mini-Fit Jr™ Bag
J2,SamacSys_Parts:Molex_26013114,"1.20mm Pitch, Pico-EZmate PCB Header, Single Row, Gold Plating, Friction Lock, 4 Circuits, Tape and Reel"
"J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19",781710004 Pico-EZmate:781710004,"1.20mm Pitch, Pico-EZmate PCB Header, Single Row, Gold Plating, Friction Lock, 4 Circuits, Tape and Reel"
J20,781710004 Pico-EZmate:781710004,Inductor Power Chip Wirewound 2.2uH 20% 1MHz Ferrite 1A 0.143Ohm DCR 0805 T/R
"L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16",0805_L,Res Thin Film 0402 470 Ohm 0.1% 1/16W ±25ppm/°C Molded SMD SMD Paper T/R
R1,0402_R,Resistor Thick Film Chip 10kOhm1% 2-Pin 1005 T/R
"R2, R3",0402_R,Res High Power Current Sense Thick Film 0603 0.13 Ohm 5% 1/8W ±300ppm/°C Molded Paper T/R
"R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19",0603_R,Res Thick Film NET 10K Ohm 2% 1.35W ±100ppm/°C BUS Conformal 9-Pin SIP Pin Thru-Hole Bulk
RN1,SamacSys_Parts:4609X,"100-mA, 30-V, linear voltage regulator 8-SOIC 0 to 125"
U1,footprints:LM78L05ACM&slash_NOPB,"4-V to 30-V input voltage, 1.5-A output current, synchronous buck LED driver with dimming options 6-SOT-23-THIN -40..."
"U2, U3, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18",TPS92200:TPS92200D1DDCR,PCA9685 Series 25 mA 5.5 V 1 MHz 12-bit PWM Fm+I2C-Bus LED Controller - TSSOP-28
U4,Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm,
