Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.33uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",74.168000,-67.056000,180.000000,top
"C2","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",92.202000,-66.548000,90.000000,top
"C3","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",88.392000,-66.548000,90.000000,top
"C5","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",62.484000,-66.586500,270.000000,top
"C6","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",59.182000,-130.048000,0.000000,top
"C7","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",73.444500,-130.048000,0.000000,top
"C8","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",64.262000,-136.398000,90.000000,top
"C9","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",78.232000,-136.398000,90.000000,top
"C10","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",43.942000,-95.758000,90.000000,top
"C11","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",43.942000,-84.328000,90.000000,top
"C12","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",43.942000,-107.188000,90.000000,top
"C13","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",43.942000,-72.898000,90.000000,top
"C14","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",49.999500,-90.678000,0.000000,top
"C15","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",49.999500,-79.248000,0.000000,top
"C16","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",50.292000,-102.108000,0.000000,top
"C17","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",50.292000,-67.818000,0.000000,top
"C18","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",101.092000,-130.048000,0.000000,top
"C20","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",87.122000,-130.048000,0.000000,top
"C21","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",97.282000,-122.720500,90.000000,top
"C22","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",97.282000,-109.728000,90.000000,top
"C23","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",48.044500,-61.468000,180.000000,top
"C25","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",106.172000,-136.105500,270.000000,top
"C26","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",92.202000,-136.690500,90.000000,top
"C27","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",103.924500,-117.348000,0.000000,top
"C28","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",103.924500,-104.648000,0.000000,top
"C29","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",42.672000,-54.825500,90.000000,top
"C30","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",89.662000,-60.198000,180.000000,top
"C31","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",75.692000,-61.468000,180.000000,top
"C32","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",61.722000,-61.468000,180.000000,top
